date,Temp_C,Humidity_pct,Wind_Speed_kmh
2020-07-11,31.8,50,7.9
2020-07-12,30.6,50,7.2
2020-07-13,32.3,50,7.3
2020-07-14,33.6,50,6.6
2020-07-15,33.0,50,7.8
2020-07-16,32.2,50,7.2
2020-07-17,31.9,50,7.2
2020-07-18,32.3,50,5.2
2020-07-19,29.6,50,7.1
2020-07-20,28.8,50,7.4
2020-07-21,26.3,50,5.6
2020-07-22,26.2,50,6.9
2020-07-23,30.0,50,6.6
2020-07-24,31.2,50,6.8
2020-07-25,31.7,50,5.5
2020-07-26,32.7,50,5.0
2020-07-27,34.1,50,8.2
2020-07-28,34.4,50,8.3
2020-07-29,30.6,50,5.6
2020-07-30,29.3,50,6.7
2020-07-31,31.5,50,5.4
2020-08-01,30.7,50,5.1
2020-08-02,32.9,50,6.9
2020-08-03,33.5,50,9.4
2020-08-04,33.0,50,5.1
2020-08-05,32.0,50,5.2
2020-08-06,32.5,50,13.7
2020-08-07,32.1,50,10.9
2020-08-08,33.1,50,4.2
2020-08-09,31.3,50,5.0
2020-08-10,31.6,50,5.5
2020-08-11,31.8,50,5.9
2020-08-12,32.0,50,7.7
2020-08-13,26.8,50,6.0
2020-08-14,29.7,50,6.9
2020-08-15,31.7,50,6.1
2020-08-16,32.0,50,7.4
2020-08-17,30.4,50,6.8
2020-08-18,31.0,50,5.5
2020-08-19,26.6,50,4.4
2020-08-20,26.2,50,5.4
2020-08-21,30.7,50,7.7
2020-08-22,31.2,50,11.0
2020-08-23,30.4,50,10.6
2020-08-24,29.9,50,8.6
2020-08-25,30.0,50,6.7
2020-08-26,31.3,50,7.0
2020-08-27,31.0,50,6.5
2020-08-28,28.6,50,3.1
2020-08-29,30.0,50,3.4
2020-08-30,29.0,50,11.3
2020-08-31,29.4,50,10.6
2020-09-01,30.9,50,8.1
2020-09-02,30.5,50,3.2
2020-09-03,31.0,50,6.7
2020-09-04,31.3,50,5.2
2020-09-05,30.8,50,4.8
2020-09-06,30.6,50,4.2
2020-09-07,29.7,50,2.9
2020-09-08,31.3,50,4.1
2020-09-09,31.5,50,4.6
2020-09-10,31.5,50,6.0
2020-09-11,31.7,50,4.7
2020-09-12,31.8,50,1.4
2020-09-13,32.0,50,1.5
2020-09-14,32.0,50,1.8
2020-09-15,31.9,50,3.0
2020-09-16,32.4,50,6.1
2020-09-17,32.6,50,7.3
2020-09-18,33.2,50,6.4
2020-09-19,32.5,50,3.4
2020-09-20,31.9,50,3.4
2020-09-21,32.1,50,3.5
